Name,Age,Location,Gender,Income,Assets,Debts,Monthly Expenses,Investment Preference,Type of Advice Sought,User Financial Goal,Action Based on Advice,Feedback on Advice,App Usability Feedback,Trust Level with Digital Advisor
*,"[0, 80[",*,Non-binary,"[5999.73, 9971.47[",69544.19,0.0,2360.57,Mutual Funds,Debt Management,Debt Reduction,Implemented,Unsatisfied,Satisfied,Low
*,"[0, 80[",*,Female,"[2000.09, 5999.73[",56588.5,0.0,3832.15,Fixed Deposits,Retirement Planning,High ROI Investments,Seeking Further Consultation,Satisfied,Satisfied,Low
*,"[0, 80[",*,Non-binary,"[2000.09, 5999.73[",23182.41,1046.3,4532.87,Bonds,Tax Planning,Debt Reduction,Partially Implemented,Neutral,Very Unsatisfied,High
*,"[0, 80[",*,Non-binary,"[5999.73, 9971.47[",47971.29,0.0,823.51,Gold,Savings Plan,Increase Savings,Seeking Further Consultation,Neutral,Very Unsatisfied,High
*,"[0, 80[",*,Male,"[5999.73, 9971.47[",76978.79,4845.49,2380.94,Gold,Debt Management,Debt Reduction,Partially Implemented,Very Satisfied,Neutral,Moderate
*,"[0, 80[",*,Female,"[2000.09, 5999.73[",12616.96,0.0,4495.65,Fixed Deposits,Retirement Planning,Retirement Fund Building,Not Implemented,Neutral,Very Satisfied,Low
*,"[0, 80[",*,Female,"[2000.09, 5999.73[",25848.34,4469.29,4658.88,Gold,Investment Strategy,Tax Savings,Implemented,Neutral,Unsatisfied,Low
*,*,*,*,*,90837.08,0.0,995.09,*,Tax Planning,Tax Savings,Not Implemented,Unsatisfied,Unsatisfied,High
*,"[0, 80[",*,Non-binary,"[2000.09, 5999.73[",65633.44,4305.77,1949.86,Cryptocurrency,Investment Strategy,Increase Savings,Not Implemented,Unsatisfied,Satisfied,Low
*,"[0, 80[",*,Non-binary,"[5999.73, 9971.47[",72675.91,0.0,1366.74,Fixed Deposits,Investment Strategy,Increase Savings,Seeking Further Consultation,Very Unsatisfied,Unsatisfied,Moderate
*,"[0, 80[",*,Male,"[5999.73, 9971.47[",24525.53,0.0,3723.36,Fixed Deposits,Investment Strategy,Retirement Fund Building,Not Implemented,Very Unsatisfied,Very Unsatisfied,Moderate
*,"[0, 80[",*,Male,"[2000.09, 5999.73[",78252.64,804.34,4901.07,Gold,Savings Plan,Increase Savings,Implemented,Very Satisfied,Unsatisfied,Moderate
*,"[0, 80[",*,Non-binary,"[2000.09, 5999.73[",48914.06,4251.38,822.22,Real Estate,Savings Plan,Debt Reduction,Partially Implemented,Unsatisfied,Satisfied,Low
*,"[0, 80[",*,Non-binary,"[5999.73, 9971.47[",97613.54,467.04,1285.9,Real Estate,Savings Plan,High ROI Investments,Seeking Further Consultation,Very Satisfied,Very Satisfied,Low
*,"[0, 80[",*,Non-binary,"[2000.09, 5999.73[",76927.03,151.6,3286.98,Mutual Funds,Savings Plan,Retirement Fund Building,Seeking Further Consultation,Unsatisfied,Very Satisfied,Moderate
*,"[0, 80[",*,Male,"[5999.73, 9971.47[",24048.11,0.0,4576.32,Real Estate,Debt Management,Debt Reduction,Partially Implemented,Very Unsatisfied,Unsatisfied,High
*,"[0, 80[",*,Non-binary,"[2000.09, 5999.73[",63166.79,0.0,4961.35,Mutual Funds,Debt Management,High ROI Investments,Implemented,Very Unsatisfied,Satisfied,Moderate
*,"[0, 80[",*,Female,"[2000.09, 5999.73[",5748.77,0.0,4686.44,Fixed Deposits,Retirement Planning,Debt Reduction,Seeking Further Consultation,Neutral,Satisfied,Moderate
*,"[0, 80[",*,Non-binary,"[2000.09, 5999.73[",42785.81,626.09,4826.56,Cryptocurrency,Investment Strategy,Tax Savings,Not Implemented,Very Satisfied,Unsatisfied,Low
*,*,*,*,*,91183.45,0.0,3931.93,*,Savings Plan,High ROI Investments,Not Implemented,Satisfied,Unsatisfied,Low
*,"[0, 80[",*,Non-binary,"[5999.73, 9971.47[",86652.64,0.0,3463.99,Mutual Funds,Savings Plan,Debt Reduction,Seeking Further Consultation,Neutral,Satisfied,Low
*,"[0, 80[",*,Male,"[5999.73, 9971.47[",42309.12,2964.44,1685.36,Stocks,Debt Management,Retirement Fund Building,Not Implemented,Neutral,Unsatisfied,Low
*,"[0, 80[",*,Male,"[5999.73, 9971.47[",46667.0,2452.03,4056.85,Gold,Investment Strategy,Debt Reduction,Seeking Further Consultation,Very Satisfied,Very Satisfied,Low
*,"[0, 80[",*,Non-binary,"[2000.09, 5999.73[",71506.55,0.0,4320.43,Mutual Funds,Retirement Planning,High ROI Investments,Seeking Further Consultation,Very Unsatisfied,Satisfied,High
*,"[0, 80[",*,Male,"[2000.09, 5999.73[",8583.79,0.0,3180.17,Real Estate,Debt Management,Retirement Fund Building,Not Implemented,Satisfied,Unsatisfied,Moderate
*,"[0, 80[",*,Female,"[2000.09, 5999.73[",63277.43,0.0,2107.41,Mutual Funds,Tax Planning,High ROI Investments,Partially Implemented,Very Satisfied,Very Unsatisfied,Low
*,"[0, 80[",*,Male,"[2000.09, 5999.73[",77875.48,0.0,4550.6,Bonds,Investment Strategy,Retirement Fund Building,Implemented,Very Satisfied,Neutral,Low
*,"[0, 80[",*,Female,"[2000.09, 5999.73[",59388.17,4576.29,3832.95,Mutual Funds,Investment Strategy,Increase Savings,Seeking Further Consultation,Very Satisfied,Unsatisfied,Low
*,"[0, 80[",*,Non-binary,"[5999.73, 9971.47[",43284.23,1457.32,3239.39,Fixed Deposits,Retirement Planning,Tax Savings,Seeking Further Consultation,Unsatisfied,Very Satisfied,Low
*,"[0, 80[",*,Female,"[2000.09, 5999.73[",7745.11,2090.59,3012.41,Real Estate,Tax Planning,Increase Savings,Implemented,Unsatisfied,Unsatisfied,High
*,"[0, 80[",*,Non-binary,"[2000.09, 5999.73[",19073.97,0.0,3551.61,Fixed Deposits,Savings Plan,Retirement Fund Building,Seeking Further Consultation,Very Unsatisfied,Unsatisfied,Low
*,"[0, 80[",*,Female,"[2000.09, 5999.73[",48856.47,0.0,4313.48,Fixed Deposits,Savings Plan,Tax Savings,Partially Implemented,Unsatisfied,Very Unsatisfied,Moderate
*,"[0, 80[",*,Non-binary,"[5999.73, 9971.47[",41600.1,0.0,4896.12,Mutual Funds,Tax Planning,Increase Savings,Partially Implemented,Very Unsatisfied,Very Satisfied,Low
*,"[0, 80[",*,Non-binary,"[5999.73, 9971.47[",28129.27,0.0,3284.39,Cryptocurrency,Debt Management,Debt Reduction,Partially Implemented,Very Satisfied,Unsatisfied,Low
*,"[0, 80[",*,Female,"[2000.09, 5999.73[",80124.2,0.0,1711.66,Mutual Funds,Investment Strategy,Retirement Fund Building,Seeking Further Consultation,Satisfied,Very Unsatisfied,Low
*,"[0, 80[",*,Non-binary,"[2000.09, 5999.73[",64025.25,2416.42,4491.81,Mutual Funds,Savings Plan,Tax Savings,Seeking Further Consultation,Unsatisfied,Very Satisfied,High
*,"[0, 80[",*,Female,"[2000.09, 5999.73[",30396.24,4322.27,3688.13,Gold,Savings Plan,High ROI Investments,Not Implemented,Very Satisfied,Very Unsatisfied,High
